symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-11-19 00:00:00+00:00,118.64,119.06,116.81,117.59,74112972,115.6139886,116.0232762,113.8306643,114.5907698,74112972,0,1
AAPL,2020-11-20 00:00:00+00:00,117.34,118.77,117.29,118.64,73604287,114.3471462,115.7406729,114.2984215,115.6139886,73604287,0,1
AAPL,2020-11-23 00:00:00+00:00,113.85,117.6202,113.75,117.18,127959318,110.9461616,114.6201995,110.8487121,114.1912271,127959318,0,1
AAPL,2020-11-24 00:00:00+00:00,115.17,115.85,112.59,113.91,113226248,112.2324939,112.8951499,109.7182989,111.0046312,113226248,0,1
AAPL,2020-11-25 00:00:00+00:00,116.03,116.75,115.17,115.55,76499234,113.0705589,113.7721947,112.2324939,112.6028016,76499234,0,1
AAPL,2020-11-27 00:00:00+00:00,116.59,117.49,116.22,116.57,46691331,113.6162756,114.4933203,113.2557127,113.5967857,46691331,0,1
AAPL,2020-11-30 00:00:00+00:00,119.05,120.97,116.81,116.97,169410176,116.0135313,117.8845601,113.8306643,113.9865834,169410176,0,1
AAPL,2020-12-01 00:00:00+00:00,122.72,123.4693,120.01,121.01,125920963,119.5899249,120.3201133,116.9490457,117.9235398,125920963,0,1
AAPL,2020-12-02 00:00:00+00:00,123.08,123.37,120.89,122.02,89004195,119.9407428,120.2233461,117.8066005,118.9077789,89004195,0,1
AAPL,2020-12-03 00:00:00+00:00,122.94,123.78,122.21,123.52,78967630,119.8043136,120.6228887,119.0929328,120.3695202,78967630,0,1
AAPL,2020-12-04 00:00:00+00:00,122.25,122.8608,121.52,122.6,78260421,119.1319126,119.7271336,118.4205319,119.4729856,78260421,0,1
AAPL,2020-12-07 00:00:00+00:00,123.75,124.57,122.25,122.31,86711990,120.5936539,121.3927391,119.1319126,119.1903823,86711990,0,1
AAPL,2020-12-08 00:00:00+00:00,124.38,124.98,123.09,124.37,82225512,121.2075852,121.7922817,119.9504877,121.1978403,82225512,0,1
AAPL,2020-12-09 00:00:00+00:00,121.78,125.95,121,124.53,115089193,118.6739003,122.737541,117.9137949,121.3537593,115089193,0,1
AAPL,2020-12-10 00:00:00+00:00,123.24,123.87,120.15,120.5,81312170,120.0966618,120.7105932,117.0854748,117.4265478,81312170,0,1
AAPL,2020-12-11 00:00:00+00:00,122.41,122.76,120.55,122.43,86939786,119.2878317,119.6289046,117.4752725,119.3073216,86939786,0,1
AAPL,2020-12-14 00:00:00+00:00,121.78,123.35,121.54,122.6,79075988,118.6739003,120.2038562,118.4400217,119.4729856,79075988,0,1
AAPL,2020-12-15 00:00:00+00:00,127.88,127.9,124.13,124.34,157572262,124.6183148,124.6378047,120.9639616,121.1686054,157572262,0,1
AAPL,2020-12-16 00:00:00+00:00,127.81,128.37,126.56,127.41,98208591,124.5501002,125.0958169,123.3319825,124.1603025,98208591,0,1
AAPL,2020-12-17 00:00:00+00:00,128.7,129.58,128.045,128.9,94359811,125.4174,126.2749549,124.7791063,125.6122989,94359811,0,1
AAPL,2020-12-18 00:00:00+00:00,126.655,129.1,126.12,128.96,192541496,123.4245594,125.8071977,122.9032051,125.6707685,192541496,0,1
AAPL,2020-12-21 00:00:00+00:00,128.23,128.31,123.449,125.02,121251553,124.9593878,125.0373473,120.3003311,121.8312615,121251553,0,1
AAPL,2020-12-22 00:00:00+00:00,131.88,134.405,129.65,131.61,169351825,128.5162915,130.9768893,126.3431695,128.2531781,169351825,0,1
AAPL,2020-12-23 00:00:00+00:00,130.96,132.43,130.78,132.16,88223692,127.6197568,129.0522633,127.4443479,128.7891499,88223692,0,1
AAPL,2020-12-24 00:00:00+00:00,131.97,133.46,131.1,131.32,54930064,128.603996,130.0559923,127.756186,127.9705748,54930064,0,1
AAPL,2020-12-28 00:00:00+00:00,136.69,137.34,133.51,133.99,123124632,133.2036085,133.8370297,130.104717,130.5724742,123124632,0,1
AAPL,2020-12-29 00:00:00+00:00,134.87,138.789,134.3409,138.05,121047324,131.4300291,135.2490717,130.9144242,134.5289205,121047324,0,1
AAPL,2020-12-30 00:00:00+00:00,133.72,135.99,133.4,135.58,96452124,130.3093608,132.5214625,129.9975226,132.1219199,96452124,0,1
AAPL,2020-12-31 00:00:00+00:00,132.69,134.74,131.72,134.08,99116586,129.3056318,131.3033448,128.3603724,130.6601787,99116586,0,1
AAPL,2021-01-04 00:00:00+00:00,129.41,133.6116,126.76,133.52,143301887,126.1092909,130.2037256,123.5268813,130.1144619,143301887,0,1
AAPL,2021-01-05 00:00:00+00:00,131.01,131.74,128.43,128.89,97664898,127.6684816,128.3798623,125.1542866,125.6025539,97664898,0,1
AAPL,2021-01-06 00:00:00+00:00,126.6,131.0499,126.382,127.72,155087970,123.3709623,127.7073639,123.1585225,124.4623957,155087970,0,1
AAPL,2021-01-07 00:00:00+00:00,130.92,131.63,127.86,128.36,109578157,127.5807771,128.2726679,124.5988249,125.086072,109578157,0,1
AAPL,2021-01-08 00:00:00+00:00,132.05,132.63,130.23,132.43,105158245,128.6819555,129.2471621,126.9083761,129.0522633,105158245,0,1
AAPL,2021-01-11 00:00:00+00:00,128.98,130.17,128.5,129.19,100620880,125.6902584,126.8499065,125.2225012,125.8949022,100620880,0,1
